Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__sectors_write.sum                                                |     124,016.0 |   176,364,920 | 142111.4% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |     228,811.0 |    48,638,844 |  21157.2% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         329.0 |      46,698.0 |  14093.5% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         17.86 |       1,288.5 |   7114.7% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,986.6 |     142,185.1 |   7057.2% | warp
lts__t_sectors_op_write.sum                                            |     3,814,712 |   271,229,562 |   7010.1% | sector
smsp__warps_issue_stalled_barrier.avg                                  |       1,999.9 |     113,867.0 |   5593.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     633,718.0 |    29,435,831 |   4544.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     2,685,220 |    84,695,843 |   3054.1% | 
smsp__inst_executed.sum                                                |    74,609,257 |   990,359,719 |   1227.4% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |      40,753.7 |     433,255.9 |    963.1% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          3.92 |         23.36 |    495.9% | %
smsp__warps_issue_stalled_wait.avg                                     |     425,615.8 |     1,201,619 |    182.3% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      43,397.3 |     105,484.4 |    143.1% | warp
launch__registers_per_thread                                           |         80.00 |         151.0 |     88.8% | register/thread
lts__t_sectors.sum                                                     |   460,261,523 |   780,765,213 |     69.6% | sector
smsp__cycles_active.avg                                                |     2,555,264 |     3,827,379 |     49.8% | cycle
lts__t_sector_hit_rate.pct                                             |         88.42 |         58.49 |    -33.8% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         71.81 |         48.08 |    -33.0% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         70.39 |         47.13 |    -33.0% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     3,542,305 |     2,432,399 |    -31.3% | warp
lts__t_sectors_op_read.sum                                             |   444,829,426 |   497,058,069 |     11.7% | sector
