Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |       8,119.0 |    45,250,151 | 557236.5% | 
dram__sectors_write.sum                                                |     112,640.0 |   176,341,336 | 156453.0% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     318,708.0 |    49,924,812 |  15564.8% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         723.8 |     111,070.4 |  15244.6% | warp
lts__t_sectors_op_write.sum                                            |     2,138,678 |   269,452,739 |  12499.0% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         234.6 |       4,340.5 |   1750.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,335.4 |      11,898.2 |    791.0% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.02 |         29.22 |    626.9% | %
smsp__inst_executed.sum                                                |    53,395,928 |   161,864,570 |    203.1% | inst
launch__registers_per_thread                                           |         39.00 |         112.0 |    187.2% | register/thread
smsp__warps_issue_stalled_wait.avg                                     |     346,353.2 |     617,048.9 |     78.2% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     300,384.9 |     482,292.5 |     60.6% | warp
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         36.15 |         55.34 |     53.1% | %
lts__t_sectors.sum                                                     |   518,256,803 |   763,983,713 |     47.4% | sector
lts__t_sector_hit_rate.pct                                             |         91.43 |         59.35 |    -35.1% | %
smsp__warps_issue_stalled_sleeping.avg                                 |      90,150.4 |     113,359.4 |     25.7% | warp
smsp__cycles_active.avg                                                |     2,488,360 |     3,045,259 |     22.4% | cycle
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         72.30 |         59.02 |    -18.4% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         73.76 |         63.67 |    -13.7% | %
