Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,889.0 |     634,016.0 |  33463.6% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         744.1 |      23,326.5 |   3034.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |       8,151.0 |     232,572.0 |   2753.3% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     318,938.0 |     2,707,718 |    749.0% | 
lts__t_sectors_op_write.sum                                            |     2,115,457 |     5,960,370 |    181.8% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         244.7 |         671.9 |    174.6% | warp
launch__registers_per_thread                                           |         34.00 |         76.00 |    123.5% | register/thread
smsp__warps_issue_stalled_barrier.avg                                  |     303,650.4 |       1,642.4 |    -99.5% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      93,750.4 |      43,939.3 |    -53.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,424.3 |       2,173.7 |     52.6% | warp
smsp__inst_executed.sum                                                |    54,037,609 |    75,112,625 |     39.0% | inst
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,815,795 |     3,528,430 |     25.3% | warp
smsp__warps_issue_stalled_wait.avg                                     |     340,959.4 |     419,821.5 |     23.1% | warp
dram__bytes_read.sum                                                   |         920.8 |         715.3 |    -22.3% | Mbyte
dram__sectors_read.sum                                                 |    28,773,640 |    22,354,016 |    -22.3% | sector
dram__sectors_write.sum                                                |     110,976.0 |     125,152.0 |     12.8% | sector
lts__t_sectors_op_read.sum                                             |   527,335,741 |   463,397,126 |    -12.1% | sector
lts__t_sectors.sum                                                     |   529,558,023 |   480,981,417 |     -9.2% | sector
