Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |       8,142.0 |    45,286,556 | 556109.2% | 
dram__sectors_write.sum                                                |     110,608.0 |   176,340,608 | 159328.4% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     318,630.0 |    49,910,825 |  15564.2% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         727.9 |     106,093.4 |  14475.7% | warp
lts__t_sectors_op_write.sum                                            |     2,113,609 |   269,451,713 |  12648.4% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         280.2 |       4,608.8 |   1545.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,432.1 |      11,866.1 |    728.6% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.01 |         29.17 |    627.4% | %
launch__registers_per_thread                                           |         39.00 |         112.0 |    187.2% | register/thread
smsp__inst_executed.sum                                                |    60,668,817 |   164,061,566 |    170.4% | inst
smsp__warps_issue_stalled_wait.avg                                     |     367,818.3 |     627,270.5 |     70.5% | warp
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         36.09 |         55.31 |     53.3% | %
smsp__warps_issue_stalled_barrier.avg                                  |     298,152.6 |     450,792.3 |     51.2% | warp
lts__t_sectors.sum                                                     |   518,808,880 |   763,322,966 |     47.1% | sector
lts__t_sector_hit_rate.pct                                             |         91.34 |         59.43 |    -34.9% | %
smsp__warps_issue_stalled_sleeping.avg                                 |      86,412.7 |     113,099.3 |     30.9% | warp
smsp__cycles_active.avg                                                |     2,490,039 |     3,049,460 |     22.5% | cycle
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         72.17 |         58.99 |    -18.3% | %
