Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,014.0 |     231,121.0 |  11375.7% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |       2,430.0 |     253,349.0 |  10325.9% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |       2,308.1 |      29,955.5 |   1197.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      87,884.0 |     1,033,827 |   1076.4% | 
launch__registers_per_thread                                           |         48.00 |         100.0 |    108.3% | register/thread
smsp__warps_issue_stalled_barrier.avg                                  |     224,642.6 |       2,723.4 |    -98.8% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      12,895.8 |       1,016.1 |    -92.1% | warp
lts__t_sectors_op_write.sum                                            |     679,759.0 |     1,141,834 |     68.0% | sector
dram__sectors_write.sum                                                |     364,080.0 |     127,040.0 |    -65.1% | sector
dram__sectors_read.sum                                                 |   159,179,336 |    89,188,640 |    -44.0% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         36.64 |         21.43 |    -41.5% | %
smsp__warps_issue_stalled_not_selected.avg                             |         629.5 |         822.0 |     30.6% | warp
lts__t_sectors_op_read.sum                                             |   537,887,947 |   403,921,203 |    -24.9% | sector
lts__t_sectors.sum                                                     |   538,871,658 |   408,381,153 |    -24.2% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,509,841 |     3,072,114 |     22.4% | warp
smsp__inst_executed.sum                                                |    44,057,266 |    50,118,420 |     13.8% | inst
smsp__warps_issue_stalled_wait.avg                                     |     263,584.4 |     290,879.7 |     10.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         236.1 |         219.4 |     -7.0% | warp
