Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       9,396.0 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      93,205.4 |     223,143.6 |    139.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,642,021 |       2,476.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    20,140,205 |      85,684.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     423,531.0 |       2,005.0 |    -99.5% | 
dram__sectors_write.sum                                                |    43,735,328 |     233,656.0 |    -99.5% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,176.1 |         17.73 |    -99.2% | warp
lts__t_sectors_op_write.sum                                            |    66,846,405 |     680,181.0 |    -99.0% | sector
smsp__warps_issue_stalled_wait.avg                                     |     140,956.4 |     277,607.9 |     96.9% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      25,958.4 |       1,538.1 |    -94.1% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,338.4 |       3,281.0 |    -89.2% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         556.7 |         967.5 |     73.8% | warp
launch__registers_per_thread                                           |         186.0 |         56.00 |    -69.9% | register/thread
smsp__inst_executed.sum                                                |   141,729,604 |    50,694,328 |    -64.2% | inst
lts__t_sectors.sum                                                     |   636,139,843 |   535,892,420 |    -15.8% | sector
lts__t_sectors_op_read.sum                                             |   569,048,989 |   534,772,079 |     -6.0% | sector
