Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       9,470.4 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      93,205.4 |     223,776.0 |    140.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,642,021 |       2,475.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    20,140,205 |      85,826.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     423,531.0 |       2,007.0 |    -99.5% | 
dram__sectors_write.sum                                                |    43,735,328 |     226,640.0 |    -99.5% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,176.1 |         17.60 |    -99.2% | warp
lts__t_sectors_op_write.sum                                            |    66,846,405 |     670,093.0 |    -99.0% | sector
smsp__warps_issue_stalled_not_selected.avg                             |      25,958.4 |       1,251.1 |    -95.2% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,956.4 |     274,101.0 |     94.5% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,338.4 |       3,975.2 |    -86.9% | warp
launch__registers_per_thread                                           |         186.0 |         56.00 |    -69.9% | register/thread
smsp__inst_executed.sum                                                |   141,729,604 |    48,232,782 |    -66.0% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         556.7 |         725.8 |     30.4% | warp
lts__t_sectors.sum                                                     |   636,139,843 |   490,226,677 |    -22.9% | sector
lts__t_sector_hit_rate.pct                                             |         63.33 |         73.57 |     16.2% | %
lts__t_sectors_op_read.sum                                             |   569,048,989 |   489,156,838 |    -14.0% | sector
