Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_barrier.avg                                  |     271,656.3 |      44,525.2 |    -83.6% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      20,952.3 |       3,693.0 |    -82.4% | warp
dram__sectors_read.sum                                                 |   212,173,000 |   133,746,952 |    -37.0% | sector
launch__registers_per_thread                                           |         126.0 |         164.0 |     30.2% | register/thread
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         57.47 |         41.93 |    -27.0% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,117,224 |     2,659,541 |     25.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,171,433 |    14,788,402 |    -22.9% | 
lts__t_sector_hit_rate.pct                                             |         45.85 |         56.08 |     22.3% | %
smsp__warps_issue_stalled_short_scoreboard.avg                         |     168,700.8 |     203,239.8 |     20.5% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    27,943,932 |    33,213,785 |     18.9% | 
smsp__warps_issue_stalled_not_selected.avg                             |       6,697.8 |       7,445.1 |     11.2% | warp
lts__t_sectors_op_read.sum                                             |   673,397,167 |   604,909,447 |    -10.2% | sector
lts__t_sectors.sum                                                     |   741,578,731 |   677,071,129 |     -8.7% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,214.4 |       2,365.7 |      6.8% | warp
smsp__inst_executed.sum                                                |   101,843,853 |   108,567,112 |      6.6% | inst
