Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       1,028.6 |      inf% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,956.4 |     289,472.1 |    105.4% | warp
dram__sectors_write.sum                                                |    43,735,328 |     122,752.0 |    -99.7% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,642,021 |     148,505.0 |    -99.1% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,176.1 |         23.64 |    -98.9% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      93,205.4 |       2,442.0 |    -97.4% | warp
lts__t_sectors_op_write.sum                                            |    66,846,405 |     1,796,649 |    -97.3% | sector
smsp__warps_issue_stalled_not_selected.avg                             |      25,958.4 |         934.8 |    -96.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    20,140,205 |     928,902.0 |    -95.4% | 
smsp__inst_executed.sum                                                |   141,729,604 |    51,058,822 |    -64.0% | inst
launch__registers_per_thread                                           |         186.0 |         98.00 |    -47.3% | register/thread
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     423,531.0 |     225,701.0 |    -46.7% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,338.4 |      16,529.5 |    -45.5% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         556.7 |         310.0 |    -44.3% | warp
lts__t_sectors.sum                                                     |   636,139,843 |   399,082,993 |    -37.3% | sector
lts__t_sectors_op_read.sum                                             |   569,048,989 |   394,043,001 |    -30.8% | sector
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         63.39 |         45.59 |    -28.1% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,412,125 |     3,083,045 |     27.8% | warp
