Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_barrier.avg                                  |     271,656.3 |      44,182.3 |    -83.7% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      20,952.3 |       4,847.8 |    -76.9% | warp
launch__registers_per_thread                                           |         126.0 |         164.0 |     30.2% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,117,224 |     2,714,761 |     28.2% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     168,700.8 |     213,274.2 |     26.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,171,433 |    15,090,695 |    -21.3% | 
dram__sectors_read.sum                                                 |   212,173,000 |   172,258,704 |    -18.8% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    27,943,932 |    32,527,856 |     16.4% | 
smsp__warps_issue_stalled_not_selected.avg                             |       6,697.8 |       7,178.3 |      7.2% | warp
smsp__inst_executed.sum                                                |   101,843,853 |   107,804,283 |      5.9% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,214.4 |       2,330.3 |      5.2% | warp
