Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__sectors_read.sum                                                 |   129,862,416 |    96,346,856 |    -25.8% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      24,222.7 |      18,433.9 |    -23.9% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,375.1 |      30,650.7 |     16.2% | warp
smsp__warps_issue_stalled_wait.avg                                     |     332,145.2 |     368,328.0 |     10.9% | warp
smsp__inst_executed.sum                                                |    70,331,114 |    76,836,633 |      9.2% | inst
smsp__warps_issue_stalled_not_selected.avg                             |       4,206.7 |       4,551.1 |      8.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,226,212 |    17,492,006 |      7.8% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,438,335 |    18,682,643 |      7.1% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,353.5 |       2,498.9 |      6.2% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     280,893.5 |     266,442.5 |     -5.1% | warp
