Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |          0.00 |       4,700.0 |      inf% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         596.0 |    46,067,456 | 7729338.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,558.0 |    24,017,060 | 1541431.5% | 
dram__sectors_write.sum                                                |     109,464.0 |   176,615,368 | 161245.6% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |         415.2 |     365,471.3 |  87929.3% | warp
lts__t_sectors_op_write.sum                                            |     1,056,900 |   268,468,665 |  25301.5% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     309,813.0 |    73,128,999 |  23504.2% | 
smsp__inst_executed.sum                                                |    49,179,319 |   942,207,322 |   1815.9% | inst
smsp__warps_issue_stalled_sleeping.avg                                 |      86,610.8 |     443,119.6 |    411.6% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.93 |         18.56 |    276.5% | %
smsp__warps_issue_stalled_wait.avg                                     |     309,372.3 |     941,698.8 |    204.4% | warp
dram__sectors_read.sum                                                 |    27,669,448 |    73,936,064 |    167.2% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     302,826.9 |     745,461.2 |    146.2% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |         25.52 |    132.0% | warp
smsp__cycles_active.avg                                                |     2,510,183 |     5,817,625 |    131.8% | cycle
dram__bytes_read.sum                                                   |         885.4 |          2.37 |    -99.7% | Mbyte
lts__t_sectors.sum                                                     |   518,641,818 |   823,255,699 |     58.7% | sector
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         69.54 |         28.89 |    -58.5% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         70.95 |         29.64 |    -58.2% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         48.87 |         25.20 |    -48.4% | %
lts__t_sector_hit_rate.pct                                             |         89.59 |         53.21 |    -40.6% | %
launch__registers_per_thread                                           |         78.00 |         108.0 |     38.5% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,626,949 |     1,500,253 |     -7.8% | warp
lts__t_sectors_op_read.sum                                             |   517,486,893 |   554,293,905 |      7.1% | sector
