Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__bytes_read.sum                                                   |          1.31 |         716.6 |  54602.3% | Gbyte
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       5,476.8 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      10,148.6 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,965,326 |     1,226,424 |    -58.6% | warp
dram__sectors_read.sum                                                 |    40,825,840 |    22,393,840 |    -45.1% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,242,230 |    63,153,991 |     39.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,896,249 |    65,967,883 |     32.2% | 
smsp__warps_issue_stalled_barrier.avg                                  |     492,199.9 |     351,125.5 |    -28.7% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |     129,827.1 |      94,489.0 |    -27.2% | warp
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         53.44 |         65.86 |     23.2% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         50.24 |         61.40 |     22.2% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         57.45 |         69.32 |     20.7% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,857.0 |       1,554.0 |    -16.3% | 
smsp__cycles_active.avg                                                |     3,209,261 |     2,737,347 |    -14.7% | cycle
smsp__warps_issue_stalled_wait.avg                                     |     626,354.2 |     541,984.4 |    -13.5% | warp
smsp__inst_executed.sum                                                |   161,505,556 |   152,312,268 |     -5.7% | inst
