Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |          0.00 |       7,195.0 |      inf% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,554.0 |    24,234,490 | 1559391.0% | 
smsp__inst_executed.sum                                                |   152,298,962 |   950,452,168 |    524.1% | inst
smsp__warps_issue_stalled_sleeping.avg                                 |      96,617.0 |     464,898.2 |    381.2% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     103,826.7 |     346,553.7 |    233.8% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |         24.06 |    118.7% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     351,706.8 |     765,214.1 |    117.6% | warp
smsp__cycles_active.avg                                                |     2,748,988 |     5,971,656 |    117.2% | cycle
dram__bytes_read.sum                                                   |         866.1 |          1.42 |    -99.8% | Mbyte
smsp__warps_issue_stalled_wait.avg                                     |     541,970.7 |     1,041,776 |     92.2% | warp
dram__sectors_read.sum                                                 |    27,064,856 |    44,492,144 |     64.4% | sector
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         65.34 |         29.57 |    -54.7% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         62.12 |         28.78 |    -53.7% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         57.95 |         26.85 |    -53.7% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         50.84 |         25.00 |    -50.8% | %
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         31.74 |         16.26 |    -48.8% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    62,263,925 |    46,780,795 |    -24.9% | 
launch__registers_per_thread                                           |         153.0 |         115.0 |    -24.8% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,229,779 |     1,503,293 |     22.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    64,476,481 |    74,227,286 |     15.1% | 
