Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |     144,217.1 |     465,750.8 |    223.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |     124,124.5 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      39,129.6 |       2,511.0 |    -93.6% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         433.6 |         32.49 |    -92.5% | warp
smsp__cycles_active.avg                                                |     3,685,099 |     5,977,910 |     62.2% | cycle
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         29.48 |         16.64 |    -43.6% | %
smsp__warps_issue_stalled_barrier.avg                                  |     555,310.0 |     765,713.8 |     37.9% | warp
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         42.46 |         26.75 |    -37.0% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         45.36 |         28.67 |    -36.8% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         39.35 |         24.94 |    -36.6% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         46.28 |         29.47 |    -36.3% | %
dram__sectors_read.sum                                                 |    77,578,608 |    49,464,208 |    -36.2% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,167,703 |     1,508,655 |     29.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    28,340,226 |    24,338,673 |    -14.1% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |     393,841.6 |     350,682.0 |    -11.0% | warp
smsp__warps_issue_stalled_wait.avg                                     |     1,126,193 |     1,038,291 |     -7.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    78,898,626 |    74,522,208 |     -5.5% | 
lts__t_sectors_op_read.sum                                             |   567,277,954 |   537,236,991 |     -5.3% | sector
