Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__bytes_read.sum                                                   |          1.31 |         715.7 |  54531.3% | Gbyte
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       5,476.8 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      10,148.6 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,965,326 |     1,238,995 |    -58.2% | warp
dram__sectors_read.sum                                                 |    40,825,840 |    22,364,680 |    -45.2% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,242,230 |    61,846,159 |     36.7% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,896,249 |    64,255,101 |     28.8% | 
smsp__warps_issue_stalled_barrier.avg                                  |     492,199.9 |     354,528.6 |    -28.0% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |     129,827.1 |      98,008.1 |    -24.5% | warp
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         53.44 |         65.10 |     21.8% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         50.24 |         60.73 |     20.9% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         57.45 |         68.50 |     19.2% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,857.0 |       1,554.0 |    -16.3% | 
smsp__cycles_active.avg                                                |     3,209,261 |     2,761,574 |    -13.9% | cycle
smsp__warps_issue_stalled_wait.avg                                     |     626,354.2 |     544,392.4 |    -13.1% | warp
smsp__inst_executed.sum                                                |   161,505,556 |   152,747,818 |     -5.4% | inst
