Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,922.0 |    29,368,122 | 1527898.0% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |       1,223.5 |  11022.8% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      12,209.7 |     127,752.7 |    946.3% | warp
smsp__inst_executed.sum                                                |   176,182,013 |   986,349,062 |    459.8% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       7,353.3 |      30,835.6 |    319.3% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     117,985.6 |     408,461.9 |    246.2% | warp
dram__sectors_read.sum                                                 |    24,540,848 |    53,022,504 |    116.1% | sector
dram__bytes_read.sum                                                   |         785.3 |          1.70 |    -99.8% | Mbyte
smsp__warps_issue_stalled_wait.avg                                     |     679,012.3 |     1,190,895 |     75.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,729,554 |    80,006,857 |     60.9% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,522,646 |     1,153,783 |    -54.3% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |     107,463.6 |     144,668.2 |     34.6% | warp
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         62.89 |         46.58 |    -25.9% | %
smsp__cycles_active.avg                                                |     2,977,095 |     3,748,189 |     25.9% | cycle
launch__registers_per_thread                                           |         148.0 |         110.0 |    -25.7% | register/thread
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         54.81 |         42.73 |    -22.0% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         58.53 |         45.66 |    -22.0% | %
smsp__warps_issue_stalled_barrier.avg                                  |     498,973.7 |     556,865.7 |     11.6% | warp
lts__t_sectors_op_read.sum                                             |   493,441,538 |   547,497,522 |     11.0% | sector
lts__t_sectors.sum                                                     |   763,352,604 |   817,444,278 |      7.1% | sector
