Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         595.0 |    45,372,694 | 7625562.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,850.0 |    29,368,122 | 1587366.1% | 
dram__sectors_write.sum                                                |     105,176.0 |   176,636,296 | 167843.5% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     311,063.0 |    80,006,857 |  25620.5% | 
lts__t_sectors_op_write.sum                                            |     2,095,859 |   269,518,889 |  12759.6% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |         20.26 |       1,223.5 |   5939.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       2,124.4 |     127,752.7 |   5913.6% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         536.7 |      30,835.6 |   5645.7% | warp
smsp__inst_executed.sum                                                |    79,178,324 |   986,349,062 |   1145.7% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |      43,740.8 |     408,461.9 |    833.8% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.05 |         26.74 |    560.2% | %
smsp__warps_issue_stalled_wait.avg                                     |     424,613.1 |     1,190,895 |    180.5% | warp
dram__sectors_read.sum                                                 |    22,383,480 |    53,022,504 |    136.9% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      62,007.1 |     144,668.2 |    133.3% | warp
dram__bytes_read.sum                                                   |         716.3 |          1.70 |    -99.8% | Mbyte
smsp__warps_issue_stalled_barrier.avg                                  |     290,245.3 |     556,865.7 |     91.9% | warp
lts__t_sectors.sum                                                     |   494,028,813 |   817,444,278 |     65.5% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,675,137 |     1,153,783 |    -56.9% | warp
smsp__cycles_active.avg                                                |     2,530,144 |     3,748,189 |     48.1% | cycle
launch__registers_per_thread                                           |         78.00 |         110.0 |     41.0% | register/thread
lts__t_sector_hit_rate.pct                                             |         90.57 |         56.99 |    -37.1% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         72.21 |         46.58 |    -35.5% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         70.77 |         45.66 |    -35.5% | %
lts__t_sectors_op_read.sum                                             |   491,835,901 |   547,497,522 |     11.3% | sector
