Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |          0.00 |       7,049.1 |      inf% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         592.0 |    46,889,660 | 7920450.7% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,581.0 |    26,589,503 | 1681715.5% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         397.6 |     362,814.2 |  91160.2% | warp
dram__sectors_write.sum                                                |     125,304.0 |    59,194,376 |  47140.6% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     464,912.0 |    76,838,570 |  16427.6% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |         513.2 |   4565.4% | warp
smsp__inst_executed.sum                                                |    68,185,396 |   966,635,451 |   1317.7% | inst
lts__t_sectors_op_write.sum                                            |    35,524,953 |   319,888,021 |    800.5% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      70,905.4 |     468,205.0 |    560.3% | warp
smsp__warps_issue_stalled_wait.avg                                     |     377,326.6 |     1,116,194 |    195.8% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     292,667.5 |     788,430.0 |    169.4% | warp
smsp__cycles_active.avg                                                |     2,544,972 |     6,273,477 |    146.5% | cycle
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         69.03 |         27.59 |    -60.0% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         70.43 |         28.37 |    -59.7% | %
lts__t_sectors.sum                                                     |   557,523,831 |   848,473,133 |     52.2% | sector
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         49.54 |         26.66 |    -46.2% | %
dram__sectors_read.sum                                                 |    22,330,584 |    30,431,864 |     36.3% | sector
dram__bytes_read.sum                                                   |         714.6 |         973.8 |     36.3% | Mbyte
launch__registers_per_thread                                           |         88.00 |         118.0 |     34.1% | register/thread
