Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |     144,217.1 |     479,749.9 |    232.7% | warp
smsp__warps_issue_stalled_not_selected.avg                             |     124,124.5 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      39,129.6 |       2,355.3 |    -94.0% | warp
smsp__cycles_active.avg                                                |     3,685,099 |     6,072,274 |     64.8% | cycle
smsp__warps_issue_stalled_barrier.avg                                  |     555,310.0 |     777,555.1 |     40.0% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         29.48 |         17.75 |    -39.8% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         42.46 |         25.59 |    -39.7% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         45.36 |         27.45 |    -39.5% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         46.28 |         28.19 |    -39.1% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         39.35 |         24.20 |    -38.5% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,167,703 |     1,570,714 |     34.5% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    28,340,226 |    24,118,892 |    -14.9% | 
launch__registers_per_thread                                           |         105.0 |         116.0 |     10.5% | register/thread
smsp__warps_issue_stalled_wait.avg                                     |     1,126,193 |     1,047,114 |     -7.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    78,898,626 |    73,906,937 |     -6.3% | 
