Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         595.0 |    62,392,139 | 10485973.8% | 
dram__sectors_write.sum                                                |     109,256.0 |   176,823,816 | 161743.6% | sector
lts__t_sectors_op_write.sum                                            |     1,053,029 |   268,364,971 |  25385.1% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     310,038.0 |    65,555,926 |  21044.5% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         849.0 |      89,923.5 |  10491.6% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.89 |         33.67 |    588.5% | %
smsp__inst_executed.sum                                                |    49,971,029 |   143,535,261 |    187.2% | inst
dram__bytes_read.sum                                                   |         881.1 |          1.76 |    -99.8% | Mbyte
dram__sectors_read.sum                                                 |    27,533,880 |    54,880,488 |     99.3% | sector
launch__registers_per_thread                                           |         86.00 |         158.0 |     83.7% | register/thread
smsp__warps_issue_stalled_wait.avg                                     |     306,131.0 |     520,975.4 |     70.2% | warp
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         34.86 |         52.59 |     50.9% | %
lts__t_sectors.sum                                                     |   550,849,476 |   821,402,606 |     49.1% | sector
lts__t_sector_hit_rate.pct                                             |         90.01 |         56.13 |    -37.6% | %
smsp__warps_issue_stalled_sleeping.avg                                 |      86,674.4 |     109,419.3 |     26.2% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     303,454.8 |     368,744.8 |     21.5% | warp
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         69.72 |         56.30 |    -19.2% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         71.14 |         58.59 |    -17.6% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,632,289 |     1,368,967 |    -16.1% | warp
smsp__cycles_active.avg                                                |     2,515,741 |     2,869,246 |     14.1% | cycle
