Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         592.0 |    67,021,583 | 11321113.3% | 
dram__sectors_write.sum                                                |     109,784.0 |   176,482,688 | 160654.5% | sector
lts__t_sectors_op_write.sum                                            |     1,064,121 |   268,389,556 |  25121.7% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     309,791.0 |    69,786,205 |  22426.9% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         379.5 |      84,614.5 |  22198.1% | warp
sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed        |          1.14 |         11.93 |    946.5% | %
sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed       |          1.14 |         11.93 |    946.5% | %
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.07 |         32.64 |    702.0% | %
smsp__inst_executed.sum                                                |    64,775,697 |   149,991,360 |    131.6% | inst
launch__registers_per_thread                                           |         77.00 |         152.0 |     97.4% | register/thread
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         35.53 |         60.23 |     69.5% | %
smsp__warps_issue_stalled_wait.avg                                     |     341,677.5 |     531,338.2 |     55.5% | warp
lts__t_sectors.sum                                                     |   544,198,864 |   809,695,761 |     48.8% | sector
lts__t_sector_hit_rate.pct                                             |         93.95 |         62.66 |    -33.3% | %
smsp__warps_issue_stalled_sleeping.avg                                 |      67,002.3 |      87,833.9 |     31.1% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     287,466.5 |     346,356.0 |     20.5% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,534,521 |     1,238,316 |    -19.3% | warp
smsp__cycles_active.avg                                                |     2,439,897 |     2,685,477 |     10.1% | cycle
