Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         595.0 |    45,352,218 | 7622121.5% | 
dram__sectors_write.sum                                                |     108,008.0 |   176,482,848 | 163297.9% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |         471.7 |      98,850.2 |  20857.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     311,043.0 |    49,938,175 |  15955.1% | 
lts__t_sectors_op_write.sum                                            |     2,088,835 |   269,425,022 |  12798.3% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         644.0 |       4,779.7 |    642.2% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.06 |         29.19 |    619.0% | %
smsp__warps_issue_stalled_not_selected.avg                             |       2,758.7 |      11,974.7 |    334.1% | warp
smsp__inst_executed.sum                                                |    77,697,034 |   172,507,483 |    122.0% | inst
launch__registers_per_thread                                           |         77.00 |         150.0 |     94.8% | register/thread
smsp__warps_issue_stalled_barrier.avg                                  |     287,654.5 |     470,704.0 |     63.6% | warp
smsp__warps_issue_stalled_wait.avg                                     |     394,161.5 |     639,738.7 |     62.3% | warp
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         35.60 |         53.75 |     51.0% | %
lts__t_sectors.sum                                                     |   545,093,893 |   810,600,534 |     48.7% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      68,131.4 |      95,143.1 |     39.6% | warp
lts__t_sector_hit_rate.pct                                             |         94.02 |         62.79 |    -33.2% | %
smsp__cycles_active.avg                                                |     2,441,645 |     3,028,518 |     24.0% | cycle
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         71.20 |         57.56 |    -19.2% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         72.63 |         62.36 |    -14.1% | %
