Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,917.0 |    29,526,958 | 1540169.1% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |         432.4 |   3831.2% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      10,161.7 |     133,055.3 |   1209.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       4,679.2 |      34,559.7 |    638.6% | warp
smsp__inst_executed.sum                                                |   169,484,767 |   979,826,265 |    478.1% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     106,113.8 |     386,540.9 |    264.3% | warp
smsp__warps_issue_stalled_wait.avg                                     |     629,053.2 |     1,122,567 |     78.5% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     3,034,662 |     1,156,867 |    -61.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,844,370 |    79,818,814 |     60.1% | 
launch__registers_per_thread                                           |         148.0 |         110.0 |    -25.7% | register/thread
lts__t_sectors_op_read.sum                                             |   384,333,209 |   459,196,985 |     19.5% | sector
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         59.12 |         47.93 |    -18.9% | %
smsp__cycles_active.avg                                                |     3,281,943 |     3,672,818 |     11.9% | cycle
lts__t_sectors.sum                                                     |   657,241,585 |   729,341,043 |     11.0% | sector
dram__bytes_read.sum                                                   |         826.0 |         745.7 |     -9.7% | Mbyte
dram__sectors_read.sum                                                 |    25,811,448 |    23,303,696 |     -9.7% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     497,803.2 |     543,384.9 |      9.2% | warp
