Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__bytes_read.sum                                                   |          1.31 |         715.4 |  54513.0% | Gbyte
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       5,476.8 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      10,148.6 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,965,326 |     1,330,549 |    -55.1% | warp
dram__sectors_read.sum                                                 |    40,825,840 |    22,357,064 |    -45.2% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,242,230 |    57,560,165 |     27.2% | 
smsp__warps_issue_stalled_barrier.avg                                  |     492,199.9 |     363,258.3 |    -26.2% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |     129,827.1 |     101,497.0 |    -21.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,896,249 |    60,247,935 |     20.7% | 
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         53.44 |         64.39 |     20.5% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         57.45 |         67.74 |     17.9% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,857.0 |       1,554.0 |    -16.3% | 
smsp__warps_issue_stalled_wait.avg                                     |     626,354.2 |     525,253.9 |    -16.1% | warp
smsp__cycles_active.avg                                                |     3,209,261 |     2,800,071 |    -12.8% | cycle
smsp__inst_executed.sum                                                |   161,505,556 |   144,074,906 |    -10.8% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     101,481.2 |      91,159.2 |    -10.2% | warp
