Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__bytes_read.sum                                                   |          1.31 |         715.3 |  54505.3% | Gbyte
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       5,476.8 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      10,148.6 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,965,326 |     1,321,493 |    -55.4% | warp
dram__sectors_read.sum                                                 |    40,825,840 |    22,353,944 |    -45.2% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,242,230 |    57,946,493 |     28.1% | 
smsp__warps_issue_stalled_barrier.avg                                  |     492,199.9 |     362,903.9 |    -26.3% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |     129,827.1 |     100,753.2 |    -22.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,896,249 |    61,020,341 |     22.3% | 
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         53.44 |         64.51 |     20.7% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         50.24 |         60.27 |     20.0% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         57.45 |         67.88 |     18.2% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,857.0 |       1,554.0 |    -16.3% | 
smsp__warps_issue_stalled_wait.avg                                     |     626,354.2 |     532,035.5 |    -15.1% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     101,481.2 |      88,122.7 |    -13.2% | warp
smsp__cycles_active.avg                                                |     3,209,261 |     2,793,294 |    -13.0% | cycle
smsp__inst_executed.sum                                                |   161,505,556 |   145,729,492 |     -9.8% | inst
