Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         592.0 |    57,946,493 | 9788159.0% | 
dram__sectors_write.sum                                                |     106,896.0 |   176,337,992 | 164862.2% | sector
lts__t_sectors_op_write.sum                                            |     1,091,290 |   268,387,181 |  24493.6% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |         378.5 |      88,122.7 |  23180.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     310,228.0 |    61,020,341 |  19569.5% | 
sm__mio_pq_read_cycles_active.avg.pct_of_peak_sustained_elapsed        |          1.17 |         11.92 |    918.8% | %
sm__mio_pq_write_cycles_active.avg.pct_of_peak_sustained_elapsed       |          1.17 |         11.92 |    918.8% | %
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |          4.11 |         32.58 |    692.7% | %
smsp__inst_executed.sum                                                |    54,593,922 |   145,729,492 |    166.9% | inst
launch__registers_per_thread                                           |         75.00 |         150.0 |    100.0% | register/thread
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         35.98 |         60.27 |     67.5% | %
smsp__warps_issue_stalled_wait.avg                                     |     326,627.9 |     532,035.5 |     62.9% | warp
lts__t_sectors.sum                                                     |   512,606,241 |   764,663,510 |     49.2% | sector
lts__t_sector_hit_rate.pct                                             |         92.13 |         59.26 |    -35.7% | %
smsp__warps_issue_stalled_sleeping.avg                                 |      80,573.8 |     100,753.2 |     25.0% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     298,835.1 |     362,903.9 |     21.4% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,599,725 |     1,321,493 |    -17.4% | warp
smsp__cycles_active.avg                                                |     2,498,747 |     2,793,294 |     11.8% | cycle
