Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |     144,217.1 |     430,090.5 |    198.2% | warp
smsp__warps_issue_stalled_not_selected.avg                             |     124,124.5 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |      39,129.6 |          8.00 |   -100.0% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         433.6 |         65.57 |    -84.9% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         29.48 |          7.14 |    -75.8% | %
dram__sectors_write.sum                                                |   176,660,464 |    59,745,128 |    -66.2% | sector
smsp__cycles_active.avg                                                |     3,685,099 |     5,794,151 |     57.2% | cycle
dram__sectors_read.sum                                                 |    77,578,608 |    33,646,968 |    -56.6% | sector
lts__t_sector_hit_rate.pct                                             |         52.87 |         81.09 |     53.4% | %
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         39.35 |         25.32 |    -35.7% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         42.46 |         27.61 |    -35.0% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         45.36 |         29.64 |    -34.7% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         46.28 |         30.41 |    -34.3% | %
smsp__warps_issue_stalled_barrier.avg                                  |     555,310.0 |     737,117.2 |     32.7% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,167,703 |     1,481,304 |     26.9% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     393,841.6 |     321,174.2 |    -18.5% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    28,340,226 |    23,733,630 |    -16.3% | 
smsp__warps_issue_stalled_wait.avg                                     |     1,126,193 |     966,941.1 |    -14.1% | warp
lts__t_sectors_op_read.sum                                             |   567,277,954 |   493,108,144 |    -13.1% | sector
launch__registers_per_thread                                           |         105.0 |         117.0 |     11.4% | register/thread
lts__t_sectors.sum                                                     |   837,341,553 |   762,241,982 |     -9.0% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    78,898,626 |    72,673,136 |     -7.9% | 
