Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
dram__bytes_read.sum                                                   |          1.31 |         716.6 |  54600.8% | Gbyte
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       5,476.8 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      10,148.6 |          0.00 |   -100.0% | warp
dram__sectors_write.sum                                                |   176,391,176 |    57,850,968 |    -67.2% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,965,326 |     1,212,276 |    -59.1% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         30.44 |         13.49 |    -55.7% | %
dram__sectors_read.sum                                                 |    40,825,840 |    22,393,024 |    -45.1% | sector
lts__t_sector_hit_rate.pct                                             |         56.75 |         81.90 |     44.3% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    45,242,230 |    63,176,880 |     39.6% | 
smsp__warps_issue_stalled_sleeping.avg                                 |     129,827.1 |      79,483.8 |    -38.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,896,249 |    65,808,896 |     31.9% | 
smsp__warps_issue_stalled_barrier.avg                                  |     492,199.9 |     343,644.8 |    -30.2% | warp
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         53.44 |         66.06 |     23.6% | %
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         50.24 |         61.68 |     22.8% | %
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         57.45 |         69.84 |     21.6% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,857.0 |       1,554.0 |    -16.3% | 
smsp__cycles_active.avg                                                |     3,209,261 |     2,689,320 |    -16.2% | cycle
smsp__warps_issue_stalled_short_scoreboard.avg                         |     101,481.2 |      87,787.5 |    -13.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     626,354.2 |     552,993.5 |    -11.7% | warp
lts__t_sectors_op_read.sum                                             |   515,200,992 |   484,396,796 |     -6.0% | sector
