Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         185.6 |          0.00 |   -100.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,398.1 |          0.00 |   -100.0% | warp
lts__t_sectors_op_write.sum                                            |     2,128,541 |     1,053,330 |    -50.5% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,809,838 |     1,558,433 |    -44.5% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |         526.7 |         373.2 |    -29.1% | warp
dram__sectors_read.sum                                                 |    27,590,704 |    22,330,592 |    -19.1% | sector
dram__bytes_read.sum                                                   |         882.9 |         714.6 |    -19.1% | Mbyte
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,907.0 |       1,560.0 |    -18.2% | 
smsp__warps_issue_stalled_sleeping.avg                                 |      87,827.9 |      72,307.6 |    -17.7% | warp
dram__sectors_write.sum                                                |     119,992.0 |     107,408.0 |    -10.5% | sector
smsp__inst_executed.sum                                                |    54,982,232 |    60,326,748 |      9.7% | inst
