Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,920.0 |    29,079,868 | 1514476.5% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |         11.00 |         985.8 |   8861.9% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      12,371.4 |     122,364.0 |    889.1% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       6,816.3 |      36,949.7 |    442.1% | warp
smsp__inst_executed.sum                                                |   185,111,353 |   995,570,652 |    437.8% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     106,931.2 |     349,554.0 |    226.9% | warp
dram__bytes_read.sum                                                   |         833.9 |          1.04 |    -99.9% | Mbyte
smsp__warps_issue_stalled_wait.avg                                     |     667,212.8 |     1,201,584 |     80.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    49,757,295 |    79,703,697 |     60.2% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,636,979 |     1,149,545 |    -56.4% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      98,688.0 |     131,866.9 |     33.6% | warp
launch__registers_per_thread                                           |         152.0 |         112.0 |    -26.3% | register/thread
sm__throughput.avg.pct_of_peak_sustained_elapsed                       |         62.68 |         46.54 |    -25.7% | %
dram__sectors_read.sum                                                 |    26,059,336 |    32,465,240 |     24.6% | sector
smsp__cycles_active.avg                                                |     3,018,122 |     3,701,709 |     22.6% | cycle
l1tex__throughput.avg.pct_of_peak_sustained_elapsed                    |         54.17 |         42.65 |    -21.3% | %
sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed        |         57.89 |         45.64 |    -21.2% | %
smsp__warps_issue_stalled_barrier.avg                                  |     472,480.8 |     544,809.6 |     15.3% | warp
lts__t_sectors_op_read.sum                                             |   485,628,855 |   514,119,224 |      5.9% | sector
