Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,545.5 |       1,287.8 |    -49.4% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,420,186 |     1,526,249 |    -36.9% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       4,331.9 |       2,790.4 |    -35.6% | warp
dram__sectors_read.sum                                                 |   129,563,024 |   103,304,368 |    -20.3% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,065.0 |       1,706.0 |    -17.4% | 
smsp__warps_issue_stalled_barrier.avg                                  |     280,339.2 |     245,822.9 |    -12.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,554,377 |    15,541,394 |    -11.5% | 
lts__t_sectors_op_read.sum                                             |   618,178,581 |   548,425,382 |    -11.3% | sector
lts__t_sectors.sum                                                     |   686,231,162 |   616,127,398 |    -10.2% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,349,521 |    14,804,028 |     -9.5% | 
smsp__warps_issue_stalled_wait.avg                                     |     338,297.9 |     312,646.6 |     -7.6% | warp
smsp__inst_executed.sum                                                |    70,739,438 |    66,540,125 |     -5.9% | inst
