Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         222.6 |         82.29 |    -63.0% | warp
dram__sectors_write.sum                                                |     380,752.0 |     166,728.0 |    -56.2% | sector
smsp__warps_issue_stalled_not_selected.avg                             |         557.7 |         294.5 |    -47.2% | warp
lts__t_sectors_op_write.sum                                            |     675,530.0 |     400,707.0 |    -40.7% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,860 |     1,617,246 |    -35.5% | warp
dram__sectors_read.sum                                                 |   164,774,520 |   112,169,040 |    -31.9% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         38.67 |         26.92 |    -30.4% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,073.0 |       1,709.0 |    -17.6% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |         974.3 |       1,136.4 |     16.6% | warp
lts__t_sectors.sum                                                     |   568,755,714 |   476,200,228 |    -16.3% | sector
lts__t_sectors_op_read.sum                                             |   567,736,371 |   475,551,664 |    -16.2% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      11,632.7 |       9,903.1 |    -14.9% | warp
