Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      19,668.3 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     267,257.8 |    767.5% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.74 |    -99.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     386,505.2 |     69.4% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       7,133.2 |    -67.3% | warp
launch__registers_per_thread                                           |         252.0 |         117.0 |    -53.6% | register/thread
smsp__inst_executed.sum                                                |   163,089,410 |   103,214,653 |    -36.7% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |     178,709.4 |     32.2% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     2,063,617 |    -24.6% | warp
dram__sectors_read.sum                                                 |   133,747,408 |   165,348,208 |     23.6% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    30,452,754 |    -19.3% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    49,596,662 |    -17.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,165,039 |    17,838,161 |     -6.9% | 
smsp__cycles_active.avg                                                |     1,934,310 |     1,831,515 |     -5.3% | cycle
