Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,545.5 |       1,147.8 |    -54.9% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       4,331.9 |       2,687.5 |    -38.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,420,186 |     1,538,997 |    -36.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,065.0 |       1,704.0 |    -17.5% | 
smsp__warps_issue_stalled_barrier.avg                                  |     280,339.2 |     246,847.4 |    -11.9% | warp
smsp__warps_issue_stalled_wait.avg                                     |     338,297.9 |     310,715.0 |     -8.2% | warp
smsp__inst_executed.sum                                                |    70,739,438 |    65,829,413 |     -6.9% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,554,377 |    16,348,341 |     -6.9% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,349,521 |    15,511,375 |     -5.1% | 
