Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |         974.3 |      10,478.0 |    975.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         222.6 |         37.30 |    -83.2% | warp
dram__sectors_write.sum                                                |     380,752.0 |     222,688.0 |    -41.5% | sector
lts__t_sectors_op_write.sum                                            |     675,530.0 |     408,566.0 |    -39.5% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,860 |     1,589,119 |    -36.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         557.7 |         391.9 |    -29.7% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      11,632.7 |       8,926.6 |    -23.3% | warp
dram__sectors_read.sum                                                 |   164,774,520 |   127,689,000 |    -22.5% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      86,420.0 |     104,024.0 |     20.4% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,073.0 |       1,836.0 |    -11.4% | 
smsp__inst_executed.sum                                                |    44,417,217 |    47,845,445 |      7.7% | inst
