Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      20,766.5 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     248,933.9 |    708.0% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.70 |    -99.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       7,622.5 |    -65.1% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     372,804.3 |     63.4% | warp
launch__registers_per_thread                                           |         252.0 |         119.0 |    -52.8% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     1,294,864 |    -52.7% | warp
dram__sectors_read.sum                                                 |   133,747,408 |   187,569,696 |     40.2% | sector
smsp__inst_executed.sum                                                |   163,089,410 |    99,533,982 |    -39.0% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    23,561,075 |    -37.6% | 
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         41.00 |         53.97 |     31.6% | %
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |      97,391.0 |    -28.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    46,605,412 |    -22.8% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,165,039 |    21,900,472 |     14.3% | 
lts__t_sectors_op_read.sum                                             |   606,622,897 |   666,541,506 |      9.9% | sector
lts__t_sectors.sum                                                     |   673,865,121 |   734,319,050 |      9.0% | sector
