Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,180,069 |     1,276,508 |    -41.4% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     163,108.8 |     100,080.1 |    -38.6% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,199.4 |       2,626.6 |     19.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,405,698 |    22,739,968 |     17.2% | 
dram__sectors_read.sum                                                 |   203,829,376 |   174,199,520 |    -14.5% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       6,677.7 |       7,534.5 |     12.8% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     275,397.4 |     247,942.9 |    -10.0% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    26,498,811 |    23,891,557 |     -9.8% | 
smsp__warps_issue_stalled_sleeping.avg                                 |      21,891.5 |      20,017.5 |     -8.6% | warp
lts__t_sectors_op_read.sum                                             |   683,136,890 |   630,316,702 |     -7.7% | sector
lts__t_sectors.sum                                                     |   751,378,211 |   698,059,453 |     -7.1% | sector
