Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,199.4 |       2,881.7 |     31.0% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       6,677.7 |       7,850.2 |     17.6% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |     163,108.8 |     185,127.5 |     13.5% | warp
dram__sectors_read.sum                                                 |   203,829,376 |   178,943,008 |    -12.2% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      21,891.5 |      19,626.4 |    -10.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    26,498,811 |    28,495,485 |      7.5% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,180,069 |     2,043,640 |     -6.3% | warp
lts__t_sectors_op_read.sum                                             |   683,136,890 |   643,762,182 |     -5.8% | sector
lts__t_sectors.sum                                                     |   751,378,211 |   711,863,970 |     -5.3% | sector
