Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |         974.3 |      14,223.8 |   1359.8% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         557.7 |       1,483.0 |    165.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         222.6 |         591.0 |    165.6% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         17.67 |         41.84 |    136.8% | warp
dram__sectors_write.sum                                                |     380,752.0 |     272,904.0 |    -28.3% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      11,632.7 |       8,708.6 |    -25.1% | warp
dram__sectors_read.sum                                                 |   164,774,520 |   124,853,536 |    -24.2% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      86,420.0 |     105,694.0 |     22.3% | 
smsp__inst_executed.sum                                                |    44,417,217 |    51,603,468 |     16.2% | inst
smsp__warps_issue_stalled_wait.avg                                     |     269,692.4 |     291,185.5 |      8.0% | warp
lts__t_sectors.sum                                                     |   568,755,714 |   528,734,283 |     -7.0% | sector
lts__t_sectors_op_read.sum                                             |   567,736,371 |   527,822,765 |     -7.0% | sector
