Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         598.0 |    16,171,800 | 2704214.4% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      84,359.0 |    16,926,629 |  19965.0% | 
dram__sectors_write.sum                                                |     236,856.0 |    44,064,656 |  18504.0% | sector
lts__t_sectors_op_write.sum                                            |     405,115.0 |    67,238,914 |  16497.5% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |       1,146.3 |      25,383.9 |   2114.5% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         97.32 |       1,359.6 |   1297.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         294.3 |       3,017.8 |    925.4% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       9,764.1 |      19,402.5 |     98.7% | warp
launch__registers_per_thread                                           |         96.00 |         163.0 |     69.8% | register/thread
smsp__inst_executed.sum                                                |    44,191,797 |    67,445,831 |     52.6% | inst
lts__t_sectors.sum                                                     |   560,745,350 |   678,580,676 |     21.0% | sector
dram__sectors_read.sum                                                 |   133,425,832 |   105,536,736 |    -20.9% | sector
smsp__warps_issue_stalled_wait.avg                                     |     263,439.7 |     313,193.3 |     18.9% | warp
lts__t_sectors_op_read.sum                                             |   560,124,908 |   610,881,806 |      9.1% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     223,341.7 |     243,549.4 |      9.0% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,617,838 |     1,512,916 |     -6.5% | warp
