Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       8,548.6 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      92,701.4 |     220,235.2 |    137.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,538,678 |         595.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     432,235.0 |       1,836.0 |    -99.6% | 
dram__sectors_write.sum                                                |    43,734,200 |     216,664.0 |    -99.5% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,989,580 |     104,042.0 |    -99.5% | 
lts__t_sectors_op_write.sum                                            |    66,843,374 |     406,842.0 |    -99.4% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,177.6 |         19.40 |    -99.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      25,783.5 |         389.8 |    -98.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,961.3 |     273,627.7 |     94.1% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         577.9 |         35.54 |    -93.8% | warp
smsp__inst_executed.sum                                                |   141,729,628 |    47,859,395 |    -66.2% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,531.5 |      10,547.6 |    -65.5% | warp
launch__registers_per_thread                                           |         186.0 |         96.00 |    -48.4% | register/thread
dram__sectors_read.sum                                                 |    89,189,752 |   129,987,216 |     45.7% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,424,256 |     1,589,251 |    -34.4% | warp
lts__t_sectors.sum                                                     |   631,812,727 |   560,198,114 |    -11.3% | sector
smsp__cycles_active.avg                                                |     1,913,017 |     1,811,424 |     -5.3% | cycle
