Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       9,009.3 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      92,701.4 |     219,961.7 |    137.3% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,538,678 |         600.0 |   -100.0% | 
dram__sectors_write.sum                                                |    43,734,200 |     166,416.0 |    -99.6% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     432,235.0 |       1,836.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,989,580 |     104,979.0 |    -99.5% | 
lts__t_sectors_op_write.sum                                            |    66,843,374 |     402,840.0 |    -99.4% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,177.6 |         19.59 |    -99.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      25,783.5 |         575.2 |    -97.8% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,961.3 |     275,952.7 |     95.8% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         577.9 |         136.8 |    -76.3% | warp
smsp__inst_executed.sum                                                |   141,729,628 |    48,111,858 |    -66.1% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,531.5 |      10,442.8 |    -65.8% | warp
launch__registers_per_thread                                           |         186.0 |         96.00 |    -48.4% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,424,256 |     1,585,769 |    -34.6% | warp
dram__sectors_read.sum                                                 |    89,189,752 |   112,036,120 |     25.6% | sector
lts__t_sectors.sum                                                     |   631,812,727 |   493,616,051 |    -21.9% | sector
lts__t_sectors_op_read.sum                                             |   564,719,276 |   492,977,902 |    -12.7% | sector
smsp__cycles_active.avg                                                |     1,913,017 |     1,811,428 |     -5.3% | cycle
