Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      18,950.8 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     267,929.7 |    769.7% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.80 |    -99.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     406,900.5 |     78.4% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       8,130.3 |    -62.8% | warp
launch__registers_per_thread                                           |         252.0 |         117.0 |    -53.6% | register/thread
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |     186,872.6 |     38.2% | warp
smsp__inst_executed.sum                                                |   163,089,410 |   107,492,443 |    -34.1% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,565.4 |       3,248.5 |     26.6% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     2,021,413 |    -26.2% | warp
dram__sectors_read.sum                                                 |   133,747,408 |   168,275,912 |     25.8% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    28,900,167 |    -23.5% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    50,098,543 |    -17.0% | 
smsp__cycles_active.avg                                                |     1,934,310 |     1,830,282 |     -5.4% | cycle
