Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         596.0 |    19,683,836 | 3302557.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,012.0 |    28,900,167 | 1436290.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     106,282.0 |    50,098,543 |  47037.4% | 
dram__sectors_write.sum                                                |     205,008.0 |    44,364,784 |  21540.5% | sector
lts__t_sectors_op_write.sum                                            |     664,935.0 |    67,506,160 |  10052.3% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |      14,199.8 |     186,872.6 |   1216.0% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         680.1 |       3,248.5 |    377.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |       1,750.7 |       8,130.3 |    364.4% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       9,111.8 |      18,950.8 |    108.0% | warp
smsp__inst_executed.sum                                                |    51,947,255 |   107,492,443 |    106.9% | inst
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         26.97 |         50.17 |     86.0% | %
smsp__warps_issue_stalled_mio_throttle.avg                             |         66.95 |         17.80 |    -73.4% | warp
dram__sectors_read.sum                                                 |   112,301,632 |   168,275,912 |     49.8% | sector
smsp__warps_issue_stalled_wait.avg                                     |     294,299.1 |     406,900.5 |     38.3% | warp
lts__t_sectors.sum                                                     |   488,582,778 |   674,313,598 |     38.0% | sector
lts__t_sectors_op_read.sum                                             |   487,663,576 |   606,345,786 |     24.3% | sector
launch__registers_per_thread                                           |         96.00 |         117.0 |     21.9% | register/thread
smsp__warps_issue_stalled_barrier.avg                                  |     220,094.1 |     267,929.7 |     21.7% | warp
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         56.39 |         67.62 |     19.9% | %
lts__t_sector_hit_rate.pct                                             |         60.84 |         49.83 |    -18.1% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,450,048 |     2,021,413 |    -17.5% | warp
