Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       9,111.8 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      92,701.4 |     220,094.1 |    137.4% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,961.3 |     294,299.1 |    108.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,538,678 |         596.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     432,235.0 |       2,012.0 |    -99.5% | 
dram__sectors_write.sum                                                |    43,734,200 |     205,008.0 |    -99.5% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,989,580 |     106,282.0 |    -99.5% | 
lts__t_sectors_op_write.sum                                            |    66,843,374 |     664,935.0 |    -99.0% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,177.6 |         66.95 |    -96.9% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      25,783.5 |       1,750.7 |    -93.2% | warp
smsp__inst_executed.sum                                                |   141,729,628 |    51,947,255 |    -63.3% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,531.5 |      14,199.8 |    -53.5% | warp
launch__registers_per_thread                                           |         186.0 |         96.00 |    -48.4% | register/thread
dram__sectors_read.sum                                                 |    89,189,752 |   112,301,632 |     25.9% | sector
lts__t_sectors.sum                                                     |   631,812,727 |   488,582,778 |    -22.7% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         577.9 |         680.1 |     17.7% | warp
lts__t_sectors_op_read.sum                                             |   564,719,276 |   487,663,576 |    -13.6% | sector
smsp__cycles_active.avg                                                |     1,913,017 |     1,811,315 |     -5.3% | cycle
