Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,702.0 |    23,961,385 | 1407737.0% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,889.3 |     101,262.6 |    276.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    16,545,023 |    48,047,397 |    190.4% | 
smsp__warps_issue_stalled_not_selected.avg                             |       3,015.6 |       7,460.1 |    147.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       1,356.6 |       2,614.3 |     92.7% | warp
dram__sectors_read.sum                                                 |   106,094,640 |   168,088,728 |     58.4% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    15,744,392 |    23,083,334 |     46.6% | 
smsp__inst_executed.sum                                                |    68,074,658 |    99,496,338 |     46.2% | inst
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         35.14 |         49.82 |     41.8% | %
launch__registers_per_thread                                           |         163.0 |         119.0 |    -27.0% | register/thread
smsp__warps_issue_stalled_wait.avg                                     |     315,205.3 |     372,790.4 |     18.3% | warp
lts__t_sector_hit_rate.pct                                             |         60.21 |         49.26 |    -18.2% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,507,794 |     1,271,876 |    -15.6% | warp
lts__t_sectors_op_read.sum                                             |   545,824,829 |   599,023,387 |      9.7% | sector
lts__t_sectors.sum                                                     |   613,521,053 |   666,861,584 |      8.7% | sector
