Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         597.0 |    23,083,334 | 3866455.1% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,836.0 |    23,961,385 | 1304986.3% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |     104,276.0 |    48,047,397 |  45977.1% | 
dram__sectors_write.sum                                                |     169,592.0 |    44,217,056 |  25972.6% | sector
lts__t_sectors_op_write.sum                                            |     408,815.0 |    67,240,215 |  16347.6% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         80.42 |       2,614.3 |   3150.8% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         448.0 |       7,460.1 |   1565.0% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      10,223.8 |     101,262.6 |    890.5% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |       9,117.4 |      19,521.3 |    114.1% | warp
smsp__inst_executed.sum                                                |    47,720,818 |    99,496,338 |    108.5% | inst
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         26.93 |         49.82 |     85.0% | %
dram__sectors_read.sum                                                 |   112,205,000 |   168,088,728 |     49.8% | sector
smsp__warps_issue_stalled_wait.avg                                     |     273,756.2 |     372,790.4 |     36.2% | warp
lts__t_sectors.sum                                                     |   504,263,499 |   666,861,584 |     32.2% | sector
launch__registers_per_thread                                           |         96.00 |         119.0 |     24.0% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,588,586 |     1,271,876 |    -19.9% | warp
lts__t_sector_hit_rate.pct                                             |         61.24 |         49.26 |    -19.6% | %
lts__t_sectors_op_read.sum                                             |   503,591,793 |   599,023,387 |     19.0% | sector
lts__throughput.avg.pct_of_peak_sustained_elapsed                      |         56.30 |         66.54 |     18.2% | %
smsp__warps_issue_stalled_barrier.avg                                  |     220,232.9 |     247,564.3 |     12.4% | warp
