Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      19,023.4 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     268,059.2 |    770.1% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.69 |    -99.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     401,051.6 |     75.8% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       7,834.0 |    -64.1% | warp
launch__registers_per_thread                                           |         252.0 |         117.0 |    -53.6% | register/thread
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |     187,015.4 |     38.3% | warp
smsp__inst_executed.sum                                                |   163,089,410 |   106,069,926 |    -35.0% | inst
dram__sectors_read.sum                                                 |   133,747,408 |   170,786,024 |     27.7% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     2,031,137 |    -25.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    29,070,155 |    -23.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    49,950,757 |    -17.3% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,565.4 |       2,879.9 |     12.3% | warp
smsp__cycles_active.avg                                                |     1,934,310 |     1,831,553 |     -5.3% | cycle
