Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       9,965.5 |      inf% | warp
dram__bytes_write.sum                                                  |          1.40 |         15.17 |    983.6% | Gbyte
smsp__warps_issue_stalled_barrier.avg                                  |      92,701.4 |     220,511.6 |    137.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,538,678 |         595.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     432,235.0 |       1,712.0 |    -99.6% | 
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,177.6 |         17.66 |    -99.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,989,580 |     171,124.0 |    -99.1% | 
dram__sectors_write.sum                                                |    43,734,200 |     474,056.0 |    -98.9% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,531.5 |         698.2 |    -97.7% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      25,783.5 |         709.4 |    -97.2% | warp
smsp__warps_issue_stalled_wait.avg                                     |     140,961.3 |     275,343.1 |     95.3% | warp
lts__t_sectors_op_write.sum                                            |    66,843,374 |    11,187,360 |    -83.3% | sector
smsp__inst_executed.sum                                                |   141,729,628 |    48,025,852 |    -66.1% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         577.9 |         210.5 |    -63.6% | warp
dram__sectors_read.sum                                                 |    89,189,752 |   140,930,176 |     58.0% | sector
launch__registers_per_thread                                           |         186.0 |         99.00 |    -46.8% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,424,256 |     1,598,335 |    -34.1% | warp
lts__t_sectors.sum                                                     |   631,812,727 |   584,594,830 |     -7.5% | sector
smsp__cycles_active.avg                                                |     1,913,017 |     1,811,634 |     -5.3% | cycle
