Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
lts__t_sectors_op_write.sum                                            |     675,530.0 |    11,187,360 |   1556.1% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      86,420.0 |     171,124.0 |     98.0% | 
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,860 |     1,598,335 |    -36.2% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |         974.3 |         698.2 |    -28.3% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         557.7 |         709.4 |     27.2% | warp
dram__sectors_write.sum                                                |     380,752.0 |     474,056.0 |     24.5% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,073.0 |       1,712.0 |    -17.4% | 
dram__sectors_read.sum                                                 |   164,774,520 |   140,930,176 |    -14.5% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      11,632.7 |       9,965.5 |    -14.3% | warp
smsp__inst_executed.sum                                                |    44,417,217 |    48,025,852 |      8.1% | inst
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         222.6 |         210.5 |     -5.4% | warp
