Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      17,940.9 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     270,034.0 |    776.5% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         66.98 |    -98.2% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     418,771.0 |     83.6% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       8,940.5 |    -59.1% | warp
launch__registers_per_thread                                           |         252.0 |         117.0 |    -53.6% | register/thread
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,565.4 |       3,714.6 |     44.8% | warp
lts__t_sectors_op_write.sum                                            |    66,827,839 |    92,808,627 |     38.9% | sector
dram__sectors_read.sum                                                 |   133,747,408 |   179,831,752 |     34.5% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    25,385,604 |    -32.8% | 
smsp__inst_executed.sum                                                |   163,089,410 |   113,120,320 |    -30.6% | inst
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |     175,259.3 |     29.6% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         41.00 |         51.64 |     26.0% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     2,077,218 |    -24.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    48,557,639 |    -19.6% | 
lts__t_sectors.sum                                                     |   673,865,121 |   772,548,574 |     14.6% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,165,039 |    21,695,246 |     13.2% | 
lts__t_sectors_op_read.sum                                             |   606,622,897 |   679,219,310 |     12.0% | sector
