Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      23,633.5 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     253,631.1 |    723.3% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.64 |    -99.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       7,039.2 |    -67.8% | warp
dram__sectors_read.sum                                                 |   133,747,408 |   212,559,040 |     58.9% | sector
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     357,842.0 |     56.8% | warp
launch__registers_per_thread                                           |         252.0 |         123.0 |    -51.2% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     1,370,545 |    -49.9% | warp
smsp__inst_executed.sum                                                |   163,089,410 |    98,292,129 |    -39.7% | inst
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         41.00 |         57.05 |     39.1% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    23,344,597 |    -38.2% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |      84,414.5 |    -37.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    44,651,356 |    -26.1% | 
lts__t_sector_hit_rate.pct                                             |         57.05 |         45.63 |    -20.0% | %
lts__t_sectors_op_read.sum                                             |   606,622,897 |   693,722,597 |     14.4% | sector
lts__t_sectors.sum                                                     |   673,865,121 |   761,526,354 |     13.0% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,565.4 |       2,344.8 |     -8.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,165,039 |    20,447,824 |      6.7% | 
