Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |     163,108.8 |      84,414.5 |    -48.2% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,180,069 |     1,370,545 |    -37.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    26,498,811 |    23,344,597 |    -11.9% | 
smsp__warps_issue_stalled_sleeping.avg                                 |      21,891.5 |      23,633.5 |      8.0% | warp
smsp__warps_issue_stalled_barrier.avg                                  |     275,397.4 |     253,631.1 |     -7.9% | warp
smsp__warps_issue_stalled_wait.avg                                     |     384,524.2 |     357,842.0 |     -6.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,199.4 |       2,344.8 |      6.6% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    47,409,560 |    44,651,356 |     -5.8% | 
smsp__warps_issue_stalled_not_selected.avg                             |       6,677.7 |       7,039.2 |      5.4% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,405,698 |    20,447,824 |      5.4% | 
