Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |         592.0 |    15,723,273 | 2655858.3% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |      84,785.0 |    16,444,081 |  19295.0% | 
lts__t_sectors_op_write.sum                                            |     404,789.0 |    67,240,033 |  16511.1% | sector
dram__sectors_write.sum                                                |     268,704.0 |    44,332,232 |  16398.5% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |         959.4 |      20,024.6 |   1987.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         270.7 |       3,356.9 |   1140.1% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         140.3 |       1,286.9 |    817.0% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |         17.65 |         83.82 |    374.9% | warp
smsp__warps_issue_stalled_sleeping.avg                                 |      11,618.8 |      21,204.2 |     82.5% | warp
launch__registers_per_thread                                           |         127.0 |         210.0 |     65.4% | register/thread
smsp__inst_executed.sum                                                |    43,575,481 |    66,795,151 |     53.3% | inst
dram__sectors_read.sum                                                 |   164,640,248 |   130,905,024 |    -20.5% | sector
smsp__warps_issue_stalled_wait.avg                                     |     257,918.6 |     310,309.8 |     20.3% | warp
lts__t_sectors.sum                                                     |   616,253,221 |   690,986,939 |     12.1% | sector
smsp__warps_issue_stalled_barrier.avg                                  |     224,127.7 |     248,124.3 |     10.7% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,622,785 |     1,540,923 |     -5.0% | warp
