Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      11,618.8 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      92,701.4 |     224,127.7 |    141.8% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,538,678 |         592.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     432,235.0 |       1,709.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,989,580 |      84,785.0 |    -99.6% | 
lts__t_sectors_op_write.sum                                            |    66,843,374 |     404,789.0 |    -99.4% | sector
dram__sectors_write.sum                                                |    43,734,200 |     268,704.0 |    -99.4% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,177.6 |         17.65 |    -99.2% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      25,783.5 |         270.7 |    -99.0% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,531.5 |         959.4 |    -96.9% | warp
dram__sectors_read.sum                                                 |    89,189,752 |   164,640,248 |     84.6% | sector
smsp__warps_issue_stalled_wait.avg                                     |     140,961.3 |     257,918.6 |     83.0% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         577.9 |         140.3 |    -75.7% | warp
smsp__inst_executed.sum                                                |   141,729,628 |    43,575,481 |    -69.3% | inst
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,424,256 |     1,622,785 |    -33.1% | warp
launch__registers_per_thread                                           |         186.0 |         127.0 |    -31.7% | register/thread
lts__t_sectors_op_read.sum                                             |   564,719,276 |   615,499,403 |      9.0% | sector
smsp__cycles_active.avg                                                |     1,913,017 |     1,811,954 |     -5.3% | cycle
