Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_not_selected.avg                             |         557.7 |         270.7 |    -51.5% | warp
lts__t_sectors_op_write.sum                                            |     675,530.0 |     404,789.0 |    -40.1% | sector
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         222.6 |         140.3 |    -36.9% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,860 |     1,622,785 |    -35.2% | warp
dram__sectors_write.sum                                                |     380,752.0 |     268,704.0 |    -29.4% | sector
launch__registers_per_thread                                           |         99.00 |         127.0 |     28.3% | register/thread
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,073.0 |       1,709.0 |    -17.6% | 
lts__t_sectors_op_read.sum                                             |   567,736,371 |   615,499,403 |      8.4% | sector
lts__t_sectors.sum                                                     |   568,755,714 |   616,253,221 |      8.4% | sector
