Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_mio_throttle.avg                             |         17.64 |         91.05 |    416.2% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,545.5 |       1,339.1 |    -47.4% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,420,186 |     1,542,749 |    -36.3% | warp
launch__registers_per_thread                                           |         163.0 |         210.0 |     28.8% | register/thread
smsp__warps_issue_stalled_not_selected.avg                             |       4,331.9 |       3,160.6 |    -27.0% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,174.6 |      19,920.8 |    -23.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,065.0 |       1,705.0 |    -17.4% | 
smsp__warps_issue_stalled_barrier.avg                                  |     280,339.2 |     248,233.8 |    -11.5% | warp
smsp__warps_issue_stalled_wait.avg                                     |     338,297.9 |     310,467.3 |     -8.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,554,377 |    16,560,398 |     -5.7% | 
smsp__inst_executed.sum                                                |    70,739,438 |    66,849,658 |     -5.5% | inst
