Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,010.0 |    26,406,240 | 1313643.3% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,135.3 |     162,231.6 |    520.7% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    17,805,852 |    47,553,387 |    167.1% | 
dram__sectors_read.sum                                                 |   132,475,328 |   215,913,952 |     63.0% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       4,245.1 |       6,750.0 |     59.0% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         39.39 |         57.95 |     47.1% | %
smsp__inst_executed.sum                                                |    71,778,430 |   102,932,584 |     43.4% | inst
launch__registers_per_thread                                           |         187.0 |         148.0 |    -20.9% | register/thread
lts__t_sector_hit_rate.pct                                             |         57.19 |         45.41 |    -20.6% | %
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,616,603 |    19,674,026 |     18.4% | 
smsp__warps_issue_stalled_wait.avg                                     |     338,406.9 |     382,889.0 |     13.1% | warp
lts__t_sectors_op_read.sum                                             |   621,974,518 |   696,952,921 |     12.1% | sector
lts__t_sectors.sum                                                     |   690,033,533 |   765,192,544 |     10.9% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,420,660 |     2,168,868 |    -10.4% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,495.9 |       2,254.2 |     -9.7% | warp
