Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |      19,866.5 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      30,808.4 |     248,735.0 |    707.4% | warp
smsp__warps_issue_stalled_mio_throttle.avg                             |       3,700.6 |         17.67 |    -99.5% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      21,846.3 |       7,058.2 |    -67.7% | warp
smsp__warps_issue_stalled_wait.avg                                     |     228,146.5 |     363,664.6 |     59.4% | warp
launch__registers_per_thread                                           |         252.0 |         119.0 |    -52.8% | register/thread
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,738,303 |     1,306,795 |    -52.3% | warp
smsp__inst_executed.sum                                                |   163,089,410 |    97,998,857 |    -39.9% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |    37,758,937 |    23,861,530 |    -36.8% | 
dram__sectors_read.sum                                                 |   133,747,408 |   173,195,192 |     29.5% | sector
smsp__warps_issue_stalled_short_scoreboard.avg                         |     135,214.3 |      98,589.2 |    -27.1% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    60,388,939 |    47,921,249 |    -20.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    19,165,039 |    22,930,020 |     19.6% | 
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       2,565.4 |       2,236.7 |    -12.8% | warp
lts__t_sectors_op_read.sum                                             |   606,622,897 |   637,066,186 |      5.0% | sector
