Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_short_scoreboard.avg                         |         974.3 |       1,889.5 |     93.9% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         222.6 |         46.51 |    -79.1% | warp
smsp__warps_issue_stalled_not_selected.avg                             |         557.7 |         243.6 |    -56.3% | warp
dram__sectors_write.sum                                                |     380,752.0 |     176,952.0 |    -53.5% | sector
dram__sectors_read.sum                                                 |   164,774,520 |    92,273,216 |    -44.0% | sector
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         38.67 |         22.13 |    -42.8% | %
lts__t_sectors_op_write.sum                                            |     675,530.0 |     403,788.0 |    -40.2% | sector
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,505,860 |     1,616,453 |    -35.5% | warp
lts__t_sector_hit_rate.pct                                             |         54.43 |         72.42 |     33.1% | %
smsp__warps_issue_stalled_sleeping.avg                                 |      11,632.7 |       8,733.2 |    -24.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,073.0 |       1,709.0 |    -17.6% | 
lts__t_sectors.sum                                                     |   568,755,714 |   512,296,086 |     -9.9% | sector
lts__t_sectors_op_read.sum                                             |   567,736,371 |   511,464,726 |     -9.9% | sector
