Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
smsp__warps_issue_stalled_sleeping.avg                                 |          0.00 |       8,999.0 |      inf% | warp
smsp__warps_issue_stalled_barrier.avg                                  |      92,701.4 |     223,294.2 |    140.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    16,538,678 |         595.0 |   -100.0% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    19,989,580 |      84,082.0 |    -99.6% | 
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |     432,235.0 |       2,010.0 |    -99.5% | 
dram__sectors_write.sum                                                |    43,734,200 |     233,344.0 |    -99.5% | sector
smsp__warps_issue_stalled_mio_throttle.avg                             |       2,177.6 |         17.66 |    -99.2% | warp
lts__t_sectors_op_write.sum                                            |    66,843,374 |     680,081.0 |    -99.0% | sector
smsp__warps_issue_stalled_wait.avg                                     |     140,961.3 |     278,047.4 |     97.3% | warp
smsp__warps_issue_stalled_not_selected.avg                             |      25,783.5 |       1,222.6 |    -95.3% | warp
smsp__warps_issue_stalled_short_scoreboard.avg                         |      30,531.5 |       1,997.0 |    -93.5% | warp
smsp__inst_executed.sum                                                |   141,729,628 |    48,487,487 |    -65.8% | inst
launch__registers_per_thread                                           |         186.0 |         96.00 |    -48.4% | register/thread
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |         577.9 |         754.3 |     30.5% | warp
lts__t_sector_hit_rate.pct                                             |         62.83 |         78.62 |     25.1% | %
lts__t_sectors.sum                                                     |   631,812,727 |   488,548,726 |    -22.7% | sector
lts__t_sectors_op_read.sum                                             |   564,719,276 |   487,443,768 |    -13.7% | sector
smsp__cycles_active.avg                                                |     1,913,017 |     1,811,796 |     -5.3% | cycle
