Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       1,710.0 |    23,780,844 | 1390592.6% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      23,769.6 |      97,909.7 |    311.9% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    15,594,142 |    47,776,410 |    206.4% | 
smsp__warps_issue_stalled_not_selected.avg                             |       3,357.4 |       7,391.6 |    120.2% | warp
smsp__warps_issue_stalled_math_pipe_throttle.avg                       |       1,356.4 |       2,471.5 |     82.2% | warp
dram__sectors_read.sum                                                 |   102,400,888 |   171,724,048 |     67.7% | sector
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    14,818,437 |    22,986,228 |     55.1% | 
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         34.04 |         50.82 |     49.3% | %
smsp__inst_executed.sum                                                |    67,577,956 |    98,825,386 |     46.2% | inst
launch__registers_per_thread                                           |         162.0 |         119.0 |    -26.5% | register/thread
smsp__warps_issue_stalled_wait.avg                                     |     311,589.0 |     366,752.4 |     17.7% | warp
lts__t_sector_hit_rate.pct                                             |         65.50 |         54.37 |    -17.0% | %
smsp__warps_issue_stalled_long_scoreboard.avg                          |     1,524,925 |     1,297,780 |    -14.9% | warp
lts__t_sectors_op_read.sum                                             |   581,574,296 |   651,666,134 |     12.1% | sector
lts__t_sectors.sum                                                     |   649,423,145 |   719,682,364 |     10.8% | sector
smsp__warps_issue_stalled_sleeping.avg                                 |      21,176.3 |      19,600.7 |     -7.4% | warp
