Metric                                                                 | Baseline        | Experiment      | Rel Diff   | Unit
-----------------------------------------------------------------------------------------------------------------------------
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_ld.sum                   |       2,012.0 |    28,965,379 | 1439531.2% | 
smsp__warps_issue_stalled_short_scoreboard.avg                         |      26,753.9 |     180,112.2 |    573.2% | warp
l1tex__data_pipe_lsu_wavefronts_mem_shared.sum                         |    15,876,654 |    50,340,002 |    217.1% | 
dram__sectors_read.sum                                                 |   104,239,056 |   172,290,032 |     65.3% | sector
smsp__warps_issue_stalled_not_selected.avg                             |       4,787.9 |       7,489.4 |     56.4% | warp
dram__throughput.avg.pct_of_peak_sustained_elapsed                     |         34.20 |         50.77 |     48.5% | %
smsp__inst_executed.sum                                                |    73,429,773 |   105,101,837 |     43.1% | inst
l1tex__data_pipe_lsu_wavefronts_mem_shared_op_st.sum                   |    14,680,271 |    19,642,678 |     33.8% | 
launch__registers_per_thread                                           |         159.0 |         117.0 |    -26.4% | register/thread
lts__t_sector_hit_rate.pct                                             |         65.33 |         54.51 |    -16.6% | %
smsp__warps_issue_stalled_wait.avg                                     |     339,478.7 |     391,613.0 |     15.4% | warp
smsp__warps_issue_stalled_long_scoreboard.avg                          |     2,395,823 |     2,087,187 |    -12.9% | warp
lts__t_sectors_op_read.sum                                             |   582,752,856 |   651,733,773 |     11.8% | sector
lts__t_sectors.sum                                                     |   650,841,819 |   719,742,029 |     10.6% | sector
